LOC108695880	LOC108695880
LOC108695881	LOC108695881
LOC108695882	LOC108695882
LOC108695883	LOC108695883
LOC108695884	LOC108695884
LOC108695886	LOC108695886
LOC108695887	LOC108695887
LOC108695891	LOC108695891
LOC108695893	LOC108695893
LOC108695894	LOC108695894
LOC108695896	LOC108695896
LOC108695898	LOC108695898
LOC108695899	LOC108695899
LOC108695901	LOC108695901
LOC108695902	LOC108695902
LOC108695903	LOC108695903
LOC108695904	LOC108695904
LOC108695905	LOC108695905
LOC108695906	LOC108695906
LOC108695907	LOC108695907
LOC108695908	LOC108695908
LOC108695909	LOC108695909
LOC108695911	LOC108695911
LOC108695914	LOC108695914
LOC108695915	LOC108695915
LOC108695916	LOC108695916
LOC108695917	LOC108695917
LOC108695918	LOC108695918
LOC108695919	LOC108695919
LOC108695921	LOC108695921
LOC108695923	LOC108695923
LOC108695925	LOC108695925
LOC108695926	LOC108695926
LOC108695927	LOC108695927
LOC108695930	LOC108695930
LOC108695931	LOC108695931
LOC108695932	LOC108695932
LOC108695936	LOC108695936
LOC108695937	LOC108695937
LOC108695940	LOC108695940
LOC108695941	LOC108695941
LOC108695942	LOC108695942
LOC108695943	LOC108695943
LOC108695944	LOC108695944
LOC108695945	LOC108695945
LOC108695946	LOC108695946
LOC108695947	LOC108695947
LOC108695948	LOC108695948
LOC108695955	LOC108695955
LOC108695956	LOC108695956
LOC108695958	LOC108695958
LOC108695959	LOC108695959
LOC108695960	LOC108695960
LOC108695961	LOC108695961
LOC108695966	LOC108695966
LOC108695967	LOC108695967
LOC108695969	LOC108695969
LOC108695970	LOC108695970
LOC108695971	LOC108695971
LOC108695976	LOC108695976
LOC108695977	LOC108695977
LOC108695979	LOC108695979
LOC108695980	LOC108695980
LOC108695982	LOC108695982
LOC108695983	LOC108695983
LOC108695986	LOC108695986
LOC108695987	LOC108695987
LOC108695989	LOC108695989
LOC108695990	LOC108695990
LOC108696003	LOC108696003
LOC108696004	LOC108696004
LOC108696005	LOC108696005
LOC108696007	LOC108696007
LOC108696008	LOC108696008
LOC108696012	LOC108696012
LOC108696015	LOC108696015
LOC108696016	LOC108696016
LOC108696017	LOC108696017
LOC108696018	LOC108696018
LOC108696020	LOC108696020
LOC108696023	LOC108696023
LOC108696024	LOC108696024
LOC108696025	LOC108696025
LOC108696026	LOC108696026
LOC108696027	LOC108696027
LOC108696028	LOC108696028
LOC108696029	LOC108696029
LOC108696031	LOC108696031
LOC108696033	LOC108696033
LOC108696035	LOC108696035
LOC108696036	LOC108696036
LOC108696038	LOC108696038
LOC108696039	LOC108696039
LOC108696040	LOC108696040
LOC108696041	LOC108696041
LOC108696050	LOC108696050
LOC108696052	LOC108696052
LOC108696053	LOC108696053
LOC108696057	LOC108696057
LOC108696059	LOC108696059
LOC108696061	LOC108696061
LOC108696064	LOC108696064
LOC108696071	LOC108696071
LOC108696074	LOC108696074
LOC108696075	LOC108696075
LOC108696078	LOC108696078
LOC108696083	LOC108696083
LOC108696088	LOC108696088
LOC108696090	LOC108696090
LOC108696092	LOC108696092
LOC108696093	LOC108696093
LOC108696105	LOC108696105
LOC108696108	LOC108696108
LOC108696109	LOC108696109
LOC108696111	LOC108696111
LOC108696113	LOC108696113
LOC108696115	LOC108696115
LOC108696116	LOC108696116
LOC108696120	LOC108696120
LOC108696127	LOC108696127
LOC108696129	LOC108696129
LOC108696132	LOC108696132
LOC108696140	LOC108696140
LOC108696143	LOC108696143
LOC108696147	LOC108696147
LOC108696151	LOC108696151
LOC108696154	LOC108696154
LOC108696156	LOC108696156
LOC108696163	LOC108696163
LOC108696164	LOC108696164
LOC108696166	LOC108696166
LOC108696168	LOC108696168
LOC108696171	LOC108696171
LOC108696183	LOC108696183
LOC108696187	LOC108696187
LOC108696188	LOC108696188
LOC108696196	LOC108696196
LOC108696198	LOC108696198
LOC108696199	LOC108696199
LOC108696205	LOC108696205
LOC108696207	LOC108696207
LOC108696209	LOC108696209
LOC108696210	LOC108696210
LOC108696211	LOC108696211
LOC108696212	LOC108696212
LOC108696217	LOC108696217
LOC108696218	LOC108696218
LOC108696222	LOC108696222
LOC108696223	LOC108696223
LOC108696225	LOC108696225
LOC108696228	LOC108696228
LOC108696235	LOC108696235
LOC108696239	LOC108696239
LOC108696242	LOC108696242
LOC108696244	LOC108696244
LOC108696253	LOC108696253
LOC108696255	LOC108696255
LOC108696263	LOC108696263
LOC108696265	LOC108696265
LOC108696267	LOC108696267
LOC108696272	LOC108696272
LOC108696274	LOC108696274
LOC108696278	LOC108696278
LOC108696280	LOC108696280
LOC108696281	LOC108696281
LOC108696293	LOC108696293
LOC108696295	LOC108696295
LOC108696298	LOC108696298
LOC108696300	LOC108696300
LOC108696303	LOC108696303
LOC108696305	LOC108696305
LOC108696306	LOC108696306
LOC108696309	LOC108696309
LOC108696310	LOC108696310
LOC108696311	LOC108696311
LOC108696313	LOC108696313
LOC108696315	LOC108696315
LOC108696316	LOC108696316
LOC108696317	LOC108696317
LOC108696319	LOC108696319
LOC108696320	LOC108696320
LOC108696322	LOC108696322
LOC108696328	LOC108696328
LOC108696331	LOC108696331
LOC108696333	LOC108696333
LOC108696337	LOC108696337
LOC108696342	LOC108696342
LOC108696343	LOC108696343
LOC108696348	LOC108696348
LOC108696353	LOC108696353
LOC108696360	LOC108696360
LOC108696363	LOC108696363
LOC108696366	LOC108696366
LOC108696368	LOC108696368
LOC108696370	LOC108696370
LOC108696373	LOC108696373
LOC108696377	LOC108696377
LOC108696379	LOC108696379
LOC108696380	LOC108696380
LOC108696384	LOC108696384
LOC108696386	LOC108696386
LOC108696388	LOC108696388
LOC108696402	LOC108696402
LOC108696403	LOC108696403
LOC108696405	LOC108696405
LOC108696407	LOC108696407
LOC108696408	LOC108696408
LOC108696409	LOC108696409
LOC108696410	LOC108696410
LOC108696411	LOC108696411
LOC108696412	LOC108696412
LOC108696418	LOC108696418
LOC108696419	LOC108696419
LOC108696420	LOC108696420
LOC108696426	LOC108696426
LOC108696427	LOC108696427
LOC108696431	LOC108696431
LOC108696434	LOC108696434
LOC108696439	LOC108696439
LOC108696440	LOC108696440
LOC108696443	LOC108696443
LOC108696447	LOC108696447
LOC108696455	LOC108696455
LOC108696457	LOC108696457
LOC108696466	LOC108696466
LOC108696467	LOC108696467
LOC108696468	LOC108696468
LOC108696474	LOC108696474
LOC108696475	LOC108696475
LOC108696478	LOC108696478
LOC108696479	LOC108696479
LOC108696483	LOC108696483
LOC108696485	LOC108696485
LOC108696489	LOC108696489
LOC108696493	LOC108696493
LOC108696496	LOC108696496
LOC108696501	LOC108696501
LOC108696502	LOC108696502
LOC108696503	LOC108696503
LOC108696506	LOC108696506
LOC108696512	LOC108696512
LOC108696514	LOC108696514
LOC108696518	LOC108696518
LOC108696519	LOC108696519
LOC108696520	LOC108696520
LOC108696525	LOC108696525
LOC108696526	LOC108696526
LOC108696527	LOC108696527
LOC108696529	LOC108696529
LOC108696531	LOC108696531
LOC108696538	LOC108696538
LOC108696539	LOC108696539
LOC108696542	LOC108696542
LOC108696547	LOC108696547
LOC108696548	LOC108696548
LOC108696549	LOC108696549
